unos,ocekivani_intent,intent,confidence,prolaz,iznad_mediana
"""Radno vrijeme?""",radno_vrijeme,radno_vrijeme,0.22,TOČNO,DA
"""Radite li sutra?""",radno_vrijeme,radno_vrijeme,0.18,TOČNO,NE
"""Kad radite?""",radno_vrijeme,radno_vrijeme,0.27,TOČNO,DA
"""Kad ste tu?""",radno_vrijeme,radno_vrijeme,0.22,TOČNO,DA
"""Kad otvoreno?""",radno_vrijeme,radno_vrijeme,0.21,TOČNO,DA
"""Otvoreno?""",radno_vrijeme,radno_vrijeme,0.14,TOČNO,NE
"""Jeste trenutno tu?""",radno_vrijeme,radno_vrijeme,0.14,TOČNO,NE
"""jel otvorneo?""",radno_vrijeme,radno_vrijeme,0.14,TOČNO,NE
"""Kad počinjete?""",radno_vrijeme,radno_vrijeme,0.21,TOČNO,DA
"""U koliko otvarate?""",radno_vrijeme,ulaznice,0.19,NETOČNO,NE
"""Koja je cijena ulaznice?""",ulaznice,ulaznice,0.15,TOČNO,NE
"""Cijena ulaznice?""",ulaznice,ulaznice,0.2,TOČNO,DA
"""cijene ulzanica?""",ulaznice,radno_vrijeme,0.14,NETOČNO,NE
"""Koliko košta?""",ulaznice,ulaznice,0.23,TOČNO,DA
"""Koliko su ulaznice?""",ulaznice,ulaznice,0.17,TOČNO,NE
"""Koliko je ulaz?""",ulaznice,ulaznice,0.16,TOČNO,NE
"""Koliko naplaćujete?""",ulaznice,ulaznice,0.19,TOČNO,NE
"""Postoje li popusti?""",ulaznice,ulaznice,0.14,TOČNO,NE
"""Imate li neke popuste?""",ulaznice,ulaznice,0.15,TOČNO,NE
"""Popust za umirovljenike?""",ulaznice,ulaznice,0.21,TOČNO,DA
"""Umirovljenik sam, imam li popust?""",ulaznice,ulaznice,0.19,TOČNO,NE
"""Gdje se nalazi muzej?""",adresa,adresa,0.16,TOČNO,NE
"""Gdje je muzej?""",adresa,toaleti,0.16,NETOČNO,NE
"""Koja je adresa?""",adresa,adresa,0.17,TOČNO,NE
"""Muzej adresa?""",adresa,radno_vrijeme,0.13,NETOČNO,NE
"""adrsea muzej?""",adresa,radno_vrijeme,0.14,NETOČNO,NE
"""Gdje se nalazi muzej?""",adresa,adresa,0.16,TOČNO,NE
"""Gdje ste smješteni?""",adresa,radno_vrijeme,0.15,NETOČNO,NE
"""Kako doći do muzeja?""",adresa,radno_vrijeme,0.15,NETOČNO,NE
"""Što je danas izloženo?""",danas_izlozbe,danas_izlozbe,0.18,TOČNO,NE
"""Koje su izlozbe danas?""",danas_izlozbe,radno_vrijeme,0.17,NETOČNO,NE
"""Što danas mogu vidjeti?""",danas_izlozbe,danas_izlozbe,0.15,TOČNO,NE
"""Koje su izložbe dostupne?""",danas_izlozbe,radno_vrijeme,0.16,NETOČNO,NE
"""Što je na programu?""",danas_izlozbe,danas_izlozbe,0.18,TOČNO,NE
"""Što je danas po programu?""",danas_izlozbe,danas_izlozbe,0.19,TOČNO,NE
"""Što je dnas izložmno?""",danas_izlozbe,danas_izlozbe,0.15,TOČNO,NE
"""Što mogu vidjeti danas?""",danas_izlozbe,danas_izlozbe,0.15,TOČNO,NE
"""Kakve izložbe imaju trenutno?""",danas_izlozbe,radno_vrijeme,0.14,NETOČNO,NE
"""Koja izložba je dostupna?""",danas_izlozbe,radno_vrijeme,0.14,NETOČNO,NE
"""Dosutpne izloždbe?""",danas_izlozbe,radno_vrijeme,0.14,NETOČNO,NE
"""Ima li kafić?""",kafic,kafic,0.13,TOČNO,NE
"""Postoji li kafić u muzeju?""",kafic,kafic,0.16,TOČNO,NE
"""Kafić u muzeju?""",kafic,kafic,0.13,TOČNO,NE
"""Mogu li popiti kavu dok čekam ženu u muzeju?""",kafic,kafic,0.16,TOČNO,NE
"""Gdje mogu popiti kavicu?""",kafic,kafic,0.16,TOČNO,NE
